,dataset_name,cell_type,cell_type_ontology_id,sex,race,development_stage,count,percentage
0,Tabula Sapiens - All Cells,fibroblast,CL:0000057,female,European,69-year-old human stage,911,3.3493878451413654
1,Tabula Sapiens - All Cells,duct epithelial cell,CL:0000068,female,European,69-year-old human stage,121,0.4448692966653186
2,Tabula Sapiens - All Cells,T cell,CL:0000084,female,European,69-year-old human stage,83,0.30515827787786315
3,Tabula Sapiens - All Cells,endothelial cell,CL:0000115,female,European,69-year-old human stage,88,0.3235413066656862
4,Tabula Sapiens - All Cells,myoepithelial cell,CL:0000185,female,European,69-year-old human stage,4,0.014706423030258466
5,Tabula Sapiens - All Cells,B cell,CL:0000236,female,European,69-year-old human stage,129,0.47428214272583546
6,Tabula Sapiens - All Cells,CD4-positive helper T cell,CL:0000492,female,European,69-year-old human stage,1217,4.474429206956138
7,Tabula Sapiens - All Cells,monocyte,CL:0000576,female,European,69-year-old human stage,100,0.36766057575646166
8,Tabula Sapiens - All Cells,"CD4-positive, alpha-beta T cell",CL:0000624,female,European,69-year-old human stage,182,0.6691422478767601
9,Tabula Sapiens - All Cells,"CD8-positive, alpha-beta T cell",CL:0000625,female,European,69-year-old human stage,101,0.3713371815140263
10,Tabula Sapiens - All Cells,basal cell,CL:0000646,female,European,69-year-old human stage,31,0.1139747784845031
11,Tabula Sapiens - All Cells,pericyte cell,CL:0000669,female,European,69-year-old human stage,30,0.1102981727269385
12,Tabula Sapiens - All Cells,neutrophil,CL:0000775,female,European,69-year-old human stage,12,0.0441192690907754
13,Tabula Sapiens - All Cells,plasma cell,CL:0000786,female,European,69-year-old human stage,7,0.025736240302952313
14,Tabula Sapiens - All Cells,memory B cell,CL:0000787,female,European,69-year-old human stage,2875,10.570241552998272
15,Tabula Sapiens - All Cells,naive B cell,CL:0000788,female,European,69-year-old human stage,1120,4.117798448472371
16,Tabula Sapiens - All Cells,mature NK T cell,CL:0000814,female,European,69-year-old human stage,239,0.8787087760579434
17,Tabula Sapiens - All Cells,endothelial cell of lymphatic vessel,CL:0002138,female,European,69-year-old human stage,57,0.20956652818118313
18,Tabula Sapiens - All Cells,adventitial cell,CL:0002503,female,European,69-year-old human stage,329,1.2096032942387587
19,Tabula Sapiens - All Cells,acinar cell of salivary gland,CL:0002623,female,European,69-year-old human stage,1801,6.621566969373874
20,Tabula Sapiens - All Cells,fibroblast,CL:0000057,male,European,59-year-old human stage,1258,4.625170043016287
21,Tabula Sapiens - All Cells,duct epithelial cell,CL:0000068,male,European,59-year-old human stage,1572,5.779624250891577
22,Tabula Sapiens - All Cells,T cell,CL:0000084,male,European,59-year-old human stage,144,0.5294312290893047
23,Tabula Sapiens - All Cells,endothelial cell,CL:0000115,male,European,59-year-old human stage,235,0.8640023530276849
24,Tabula Sapiens - All Cells,myoepithelial cell,CL:0000185,male,European,59-year-old human stage,192,0.7059083054524063
25,Tabula Sapiens - All Cells,macrophage,CL:0000235,male,European,59-year-old human stage,1761,6.474502739071289
26,Tabula Sapiens - All Cells,B cell,CL:0000236,male,European,59-year-old human stage,8,0.02941284606051693
27,Tabula Sapiens - All Cells,CD4-positive helper T cell,CL:0000492,male,European,59-year-old human stage,4,0.014706423030258466
28,Tabula Sapiens - All Cells,monocyte,CL:0000576,male,European,59-year-old human stage,326,1.198573476966065
29,Tabula Sapiens - All Cells,"CD8-positive, alpha-beta T cell",CL:0000625,male,European,59-year-old human stage,1878,6.904665612706349
30,Tabula Sapiens - All Cells,basal cell,CL:0000646,male,European,59-year-old human stage,891,3.275855729990073
31,Tabula Sapiens - All Cells,pericyte cell,CL:0000669,male,European,59-year-old human stage,116,0.4264862678774955
32,Tabula Sapiens - All Cells,neutrophil,CL:0000775,male,European,59-year-old human stage,103,0.3786903930291555
33,Tabula Sapiens - All Cells,plasma cell,CL:0000786,male,European,59-year-old human stage,338,1.2426927460568404
34,Tabula Sapiens - All Cells,memory B cell,CL:0000787,male,European,59-year-old human stage,4,0.014706423030258466
35,Tabula Sapiens - All Cells,mature NK T cell,CL:0000814,male,European,59-year-old human stage,78,0.2867752490900401
36,Tabula Sapiens - All Cells,endothelial cell of lymphatic vessel,CL:0002138,male,European,59-year-old human stage,263,0.9669473142394941
37,Tabula Sapiens - All Cells,adventitial cell,CL:0002503,male,European,59-year-old human stage,113,0.41545645060480163
38,Tabula Sapiens - All Cells,acinar cell of salivary gland,CL:0002623,male,European,59-year-old human stage,8346,30.68495165263429
39,Tabula Sapiens - All Cells,ionocyte,CL:0005006,male,European,59-year-old human stage,87,0.3198647009081216
40,Tabula Sapiens - All Cells,salivary gland cell,CL:0009005,male,European,59-year-old human stage,45,0.16544725909040772
