,dataset_name,cell_type,cell_type_ontology_id,sex,race,development_stage,count,percentage
0,Tabula Sapiens - All Cells,mesothelial cell,CL:0000077,female,African American or Afro-Caribbean,38-year-old human stage,1,0.00840477391158178
1,Tabula Sapiens - All Cells,T cell,CL:0000084,female,African American or Afro-Caribbean,38-year-old human stage,3,0.02521432173474534
2,Tabula Sapiens - All Cells,mast cell,CL:0000097,female,African American or Afro-Caribbean,38-year-old human stage,9,0.07564296520423601
3,Tabula Sapiens - All Cells,mesenchymal stem cell,CL:0000134,female,African American or Afro-Caribbean,38-year-old human stage,433,3.63926710371491
4,Tabula Sapiens - All Cells,slow muscle cell,CL:0000189,female,African American or Afro-Caribbean,38-year-old human stage,38,0.31938140864010756
5,Tabula Sapiens - All Cells,fast muscle cell,CL:0000190,female,African American or Afro-Caribbean,38-year-old human stage,20,0.16809547823163556
6,Tabula Sapiens - All Cells,smooth muscle cell,CL:0000192,female,African American or Afro-Caribbean,38-year-old human stage,7,0.05883341738107245
7,Tabula Sapiens - All Cells,erythrocyte,CL:0000232,female,African American or Afro-Caribbean,38-year-old human stage,1,0.00840477391158178
8,Tabula Sapiens - All Cells,macrophage,CL:0000235,female,African American or Afro-Caribbean,38-year-old human stage,70,0.5883341738107245
9,Tabula Sapiens - All Cells,tendon cell,CL:0000388,female,African American or Afro-Caribbean,38-year-old human stage,3,0.02521432173474534
10,Tabula Sapiens - All Cells,"CD4-positive, alpha-beta T cell",CL:0000624,female,African American or Afro-Caribbean,38-year-old human stage,29,0.24373844343587156
11,Tabula Sapiens - All Cells,"CD8-positive, alpha-beta T cell",CL:0000625,female,African American or Afro-Caribbean,38-year-old human stage,112,0.9413346780971592
12,Tabula Sapiens - All Cells,pericyte cell,CL:0000669,female,African American or Afro-Caribbean,38-year-old human stage,54,0.45385779122541603
13,Tabula Sapiens - All Cells,endothelial cell of lymphatic vessel,CL:0002138,female,African American or Afro-Caribbean,38-year-old human stage,21,0.17650025214321735
14,Tabula Sapiens - All Cells,endothelial cell of vascular tree,CL:0002139,female,African American or Afro-Caribbean,38-year-old human stage,138,1.1598587997982854
15,Tabula Sapiens - All Cells,capillary endothelial cell,CL:0002144,female,African American or Afro-Caribbean,38-year-old human stage,67,0.5631198520759791
16,Tabula Sapiens - All Cells,skeletal muscle satellite stem cell,CL:0008011,female,African American or Afro-Caribbean,38-year-old human stage,107,0.8993108085392504
17,Tabula Sapiens - All Cells,endothelial cell of artery,CL:1000413,female,African American or Afro-Caribbean,38-year-old human stage,1,0.00840477391158178
18,Tabula Sapiens - All Cells,T cell,CL:0000084,female,African American or Afro-Caribbean,61-year-old human stage,114,0.9581442259203228
19,Tabula Sapiens - All Cells,mast cell,CL:0000097,female,African American or Afro-Caribbean,61-year-old human stage,7,0.05883341738107245
20,Tabula Sapiens - All Cells,mesenchymal stem cell,CL:0000134,female,African American or Afro-Caribbean,61-year-old human stage,5463,45.915279878971255
21,Tabula Sapiens - All Cells,slow muscle cell,CL:0000189,female,African American or Afro-Caribbean,61-year-old human stage,21,0.17650025214321735
22,Tabula Sapiens - All Cells,fast muscle cell,CL:0000190,female,African American or Afro-Caribbean,61-year-old human stage,11,0.09245251302739957
23,Tabula Sapiens - All Cells,erythrocyte,CL:0000232,female,African American or Afro-Caribbean,61-year-old human stage,7,0.05883341738107245
24,Tabula Sapiens - All Cells,macrophage,CL:0000235,female,African American or Afro-Caribbean,61-year-old human stage,693,5.8245083207261725
25,Tabula Sapiens - All Cells,tendon cell,CL:0000388,female,African American or Afro-Caribbean,61-year-old human stage,11,0.09245251302739957
26,Tabula Sapiens - All Cells,"CD4-positive, alpha-beta T cell",CL:0000624,female,African American or Afro-Caribbean,61-year-old human stage,4,0.03361909564632712
27,Tabula Sapiens - All Cells,pericyte cell,CL:0000669,female,African American or Afro-Caribbean,61-year-old human stage,674,5.664817616406119
28,Tabula Sapiens - All Cells,mature NK T cell,CL:0000814,female,African American or Afro-Caribbean,61-year-old human stage,3,0.02521432173474534
29,Tabula Sapiens - All Cells,endothelial cell of lymphatic vessel,CL:0002138,female,African American or Afro-Caribbean,61-year-old human stage,9,0.07564296520423601
30,Tabula Sapiens - All Cells,endothelial cell of vascular tree,CL:0002139,female,African American or Afro-Caribbean,61-year-old human stage,947,7.959320894267945
31,Tabula Sapiens - All Cells,capillary endothelial cell,CL:0002144,female,African American or Afro-Caribbean,61-year-old human stage,790,6.639771390149606
32,Tabula Sapiens - All Cells,skeletal muscle satellite stem cell,CL:0008011,female,African American or Afro-Caribbean,61-year-old human stage,1994,16.759119179694064
33,Tabula Sapiens - All Cells,endothelial cell of artery,CL:1000413,female,African American or Afro-Caribbean,61-year-old human stage,36,0.30257186081694404
