,cell_type,sex,race,count,percentage
0,stem cell,male,Hispanic or Latin American,31,2.166317260656883
1,fibroblast,male,Hispanic or Latin American,17,1.187980433263452
2,T cell,male,Hispanic or Latin American,14,0.9783368273934312
3,mast cell,male,Hispanic or Latin American,3,0.20964360587002098
4,surface ectodermal cell,male,Hispanic or Latin American,9,0.628930817610063
5,endothelial cell,male,Hispanic or Latin American,83,5.800139762403914
6,microglial cell,male,Hispanic or Latin American,17,1.187980433263452
7,fat cell,male,Hispanic or Latin American,44,3.0747728860936405
8,melanocyte,male,Hispanic or Latin American,9,0.628930817610063
9,macrophage,male,Hispanic or Latin American,60,4.1928721174004195
10,B cell,male,Hispanic or Latin American,38,2.655485674353599
11,dendritic cell,male,Hispanic or Latin American,123,8.59538784067086
12,stromal cell,male,Hispanic or Latin American,185,12.928022361984626
13,monocyte,male,Hispanic or Latin American,9,0.628930817610063
14,"CD4-positive, alpha-beta T cell",male,Hispanic or Latin American,8,0.5590496156533892
15,"CD8-positive, alpha-beta T cell",male,Hispanic or Latin American,1,0.06988120195667365
16,radial glial cell,male,Hispanic or Latin American,6,0.41928721174004197
17,retinal ganglion cell,male,Hispanic or Latin American,5,0.3494060097833683
18,erythroid lineage cell,male,Hispanic or Latin American,13,0.9084556254367574
19,plasma cell,male,Hispanic or Latin American,41,2.86512928022362
20,keratocyte,male,Hispanic or Latin American,367,25.64640111809923
21,retinal blood vessel endothelial cell,male,Hispanic or Latin American,284,19.84626135569532
22,conjunctival epithelial cell,male,Hispanic or Latin American,64,4.472396925227113
