,dataset_name,cell_type,sex,race,count,percentage
0,Tabula Sapiens - All Cells,mast cell,female,African American or Afro-Caribbean,8,0.09213405505009789
1,Tabula Sapiens - All Cells,plasma cell,female,African American or Afro-Caribbean,5,0.057583784406311185
2,Tabula Sapiens - All Cells,memory B cell,female,African American or Afro-Caribbean,108,1.2438097431763215
3,Tabula Sapiens - All Cells,naive B cell,female,African American or Afro-Caribbean,5,0.057583784406311185
4,Tabula Sapiens - All Cells,mature NK T cell,female,African American or Afro-Caribbean,1,0.011516756881262236
5,Tabula Sapiens - All Cells,"naive thymus-derived CD4-positive, alpha-beta T cell",female,African American or Afro-Caribbean,60,0.6910054128757342
6,Tabula Sapiens - All Cells,"CD4-positive, alpha-beta memory T cell",female,African American or Afro-Caribbean,66,0.7601059541633076
7,Tabula Sapiens - All Cells,"CD8-positive, alpha-beta memory T cell",female,African American or Afro-Caribbean,39,0.4491535183692272
8,Tabula Sapiens - All Cells,innate lymphoid cell,female,African American or Afro-Caribbean,3,0.03455027064378671
9,Tabula Sapiens - All Cells,intermediate monocyte,female,African American or Afro-Caribbean,5,0.057583784406311185
10,Tabula Sapiens - All Cells,CD1c-positive myeloid dendritic cell,female,African American or Afro-Caribbean,2,0.023033513762524473
11,Tabula Sapiens - All Cells,hematopoietic stem cell,female,European,5,0.057583784406311185
12,Tabula Sapiens - All Cells,T cell,female,European,339,3.904180582747898
13,Tabula Sapiens - All Cells,mast cell,female,European,8,0.09213405505009789
14,Tabula Sapiens - All Cells,endothelial cell,female,European,3,0.03455027064378671
15,Tabula Sapiens - All Cells,erythrocyte,female,European,2,0.023033513762524473
16,Tabula Sapiens - All Cells,macrophage,female,European,4,0.046067027525048945
17,Tabula Sapiens - All Cells,B cell,female,European,5935,68.35195209029138
18,Tabula Sapiens - All Cells,neutrophil,female,European,8,0.09213405505009789
19,Tabula Sapiens - All Cells,plasma cell,female,European,127,1.462628123920304
20,Tabula Sapiens - All Cells,mature NK T cell,female,European,50,0.5758378440631118
21,Tabula Sapiens - All Cells,regulatory T cell,female,European,50,0.5758378440631118
22,Tabula Sapiens - All Cells,mature conventional dendritic cell,female,European,1,0.011516756881262236
23,Tabula Sapiens - All Cells,classical monocyte,female,European,30,0.3455027064378671
24,Tabula Sapiens - All Cells,non-classical monocyte,female,European,3,0.03455027064378671
25,Tabula Sapiens - All Cells,type I NK T cell,female,European,295,3.39744327997236
26,Tabula Sapiens - All Cells,"effector CD4-positive, alpha-beta T cell",female,European,711,8.18841414257745
27,Tabula Sapiens - All Cells,"effector CD8-positive, alpha-beta T cell",female,European,346,3.9847978809167337
28,Tabula Sapiens - All Cells,innate lymphoid cell,female,European,435,5.009789243349073
29,Tabula Sapiens - All Cells,intermediate monocyte,female,European,18,0.20730162386272027
30,Tabula Sapiens - All Cells,CD141-positive myeloid dendritic cell,female,European,1,0.011516756881262236
31,Tabula Sapiens - All Cells,CD1c-positive myeloid dendritic cell,female,European,10,0.11516756881262237
