,cell_type,sex,race,count,percentage
105,"naive thymus-derived CD8-positive, alpha-beta T cell",female,unknown,26,0.025047204346653307
106,"central memory CD4-positive, alpha-beta T cell",female,unknown,283,0.27262918577318795
107,"effector memory CD8-positive, alpha-beta T cell",female,unknown,269,0.25914222958652844
108,"CD4-positive, alpha-beta cytotoxic T cell",female,unknown,72,0.069361488959963
109,"CD16-negative, CD56-bright natural killer cell, human",female,unknown,92,0.08862856922661941
110,mucosal invariant T cell,female,unknown,74,0.07128819698662864
111,plasmablast,female,unknown,11,0.010596894146661016
112,conventional dendritic cell,female,unknown,116,0.11174906554660706
113,"plasmacytoid dendritic cell, human",female,unknown,27,0.026010558359986127
114,hematopoietic stem cell,female,European,73,0.07032484297329583
115,platelet,female,European,351,0.33813725867981964
116,lymphocyte,female,European,12,0.011560248159993835
117,natural killer cell,female,European,341,0.32850371854649146
118,neutrophil,female,European,1,0.0009633540133328195
119,memory B cell,female,European,34,0.032754036453315864
120,naive B cell,female,European,104,0.10018881738661323
121,regulatory T cell,female,European,68,0.06550807290663173
122,transitional stage B cell,female,European,169,0.1628068282532465
123,classical monocyte,female,European,448,0.4315825979731031
124,non-classical monocyte,female,European,139,0.13390620785326193
125,"naive thymus-derived CD4-positive, alpha-beta T cell",female,European,652,0.6281068166929984
126,"naive thymus-derived CD8-positive, alpha-beta T cell",female,European,30,0.028900620399984586
127,"central memory CD4-positive, alpha-beta T cell",female,European,300,0.2890062039998459
128,"effector memory CD8-positive, alpha-beta T cell",female,European,642,0.6184732765596701
129,"CD4-positive, alpha-beta cytotoxic T cell",female,European,54,0.052021116719972255
130,"CD16-negative, CD56-bright natural killer cell, human",female,European,19,0.01830372625332357
131,mucosal invariant T cell,female,European,49,0.04720434665330816
132,plasmablast,female,European,7,0.006743478093329736
133,conventional dendritic cell,female,European,661,0.6367770028129937
134,"activated CD4-positive, alpha-beta T cell, human",female,European,2,0.001926708026665639
135,"plasmacytoid dendritic cell, human",female,European,206,0.19845092674656084
136,hematopoietic stem cell,female,European,12,0.011560248159993835
137,erythrocyte,female,European,1,0.0009633540133328195
138,platelet,female,European,31,0.029863974413317403
139,lymphocyte,female,European,12,0.011560248159993835
140,natural killer cell,female,European,1416,1.3641092828792725
141,memory B cell,female,European,30,0.028900620399984586
142,naive B cell,female,European,23,0.022157142306654852
143,regulatory T cell,female,European,76,0.07321490501329428
144,transitional stage B cell,female,European,12,0.011560248159993835
145,classical monocyte,female,European,911,0.8776155061461985
146,non-classical monocyte,female,European,453,0.4363993680397672
147,"naive thymus-derived CD4-positive, alpha-beta T cell",female,European,392,0.37763477322646527
148,"naive thymus-derived CD8-positive, alpha-beta T cell",female,European,25,0.02408385033332049
149,"central memory CD4-positive, alpha-beta T cell",female,European,813,0.7832068128395823
150,"effector memory CD8-positive, alpha-beta T cell",female,European,110,0.10596894146661015
151,"CD4-positive, alpha-beta cytotoxic T cell",female,European,39,0.03757080651997997
152,"CD16-negative, CD56-bright natural killer cell, human",female,European,29,0.027937266386651765
153,mucosal invariant T cell,female,European,39,0.03757080651997997
154,plasmablast,female,European,5,0.0048167700666640985
155,conventional dendritic cell,female,European,204,0.1965242187198952
156,"activated CD4-positive, alpha-beta T cell, human",female,European,4,0.003853416053331278
157,"plasmacytoid dendritic cell, human",female,European,145,0.13968633193325883
158,hematopoietic stem cell,female,European,73,0.07032484297329583
159,erythrocyte,female,European,1,0.0009633540133328195
160,platelet,female,European,109,0.10500558745327733
161,lymphocyte,female,European,21,0.02023043427998921
162,natural killer cell,female,European,251,0.24180185734653772
163,memory B cell,female,European,10,0.009633540133328197
164,naive B cell,female,European,203,0.19556086470656234
165,regulatory T cell,female,European,146,0.14064968594659166
166,transitional stage B cell,female,European,113,0.10885900350660861
167,classical monocyte,female,European,728,0.7013217217062926
168,non-classical monocyte,female,European,437,0.4209857038264421
169,"naive thymus-derived CD4-positive, alpha-beta T cell",female,European,617,0.5943894262263496
170,"naive thymus-derived CD8-positive, alpha-beta T cell",female,European,4,0.003853416053331278
171,"central memory CD4-positive, alpha-beta T cell",female,European,808,0.7783900427729182
172,"effector memory CD8-positive, alpha-beta T cell",female,European,712,0.6859080574929675
173,"CD4-positive, alpha-beta cytotoxic T cell",female,European,152,0.14642981002658856
174,"CD16-negative, CD56-bright natural killer cell, human",female,European,8,0.007706832106662556
175,plasmablast,female,European,10,0.009633540133328197
176,conventional dendritic cell,female,European,148,0.14257639397325728
177,"activated CD4-positive, alpha-beta T cell, human",female,European,1,0.0009633540133328195
178,"activated CD8-positive, alpha-beta T cell, human",female,European,1,0.0009633540133328195
179,"plasmacytoid dendritic cell, human",female,European,172,0.16569689029324497
180,hematopoietic stem cell,male,European,13,0.012523602173326653
181,erythrocyte,male,European,98,0.09440869330661632
182,platelet,male,European,2,0.001926708026665639
183,lymphocyte,male,European,16,0.015413664213325112
184,natural killer cell,male,European,168,0.1618434742399137
185,immature neutrophil,male,European,2,0.001926708026665639
186,memory B cell,male,European,62,0.059727948826634805
187,naive B cell,male,European,27,0.026010558359986127
188,gamma-delta T cell,male,European,16,0.015413664213325112
189,regulatory T cell,male,European,53,0.051057762706639434
190,transitional stage B cell,male,European,75,0.07225155099996147
191,classical monocyte,male,European,186,0.17918384647990443
192,non-classical monocyte,male,European,48,0.04624099263997534
193,"naive thymus-derived CD4-positive, alpha-beta T cell",male,European,96,0.09248198527995068
194,"naive thymus-derived CD8-positive, alpha-beta T cell",male,European,49,0.04720434665330816
195,"central memory CD4-positive, alpha-beta T cell",male,European,231,0.2225347770798813
196,"effector memory CD8-positive, alpha-beta T cell",male,European,621,0.5982428422796809
197,"CD16-negative, CD56-bright natural killer cell, human",male,European,4,0.003853416053331278
198,mucosal invariant T cell,male,European,89,0.08573850718662093
199,IgG plasmablast,male,European,3,0.0028900620399984586
200,IgA plasmablast,male,European,2,0.001926708026665639
201,conventional dendritic cell,male,European,26,0.025047204346653307
202,"activated CD4-positive, alpha-beta T cell, human",male,European,7,0.006743478093329736
203,"plasmacytoid dendritic cell, human",male,European,14,0.013486956186659472
204,double negative thymocyte,male,European,3,0.0028900620399984586
205,hematopoietic stem cell,male,European,59,0.05683788678663636
206,platelet,male,European,134,0.12908943778659782
207,lymphocyte,male,European,8,0.007706832106662556
208,natural killer cell,male,European,245,0.23602173326654077
209,memory B cell,male,European,16,0.015413664213325112
210,naive B cell,male,European,36,0.0346807444799815
211,regulatory T cell,male,European,51,0.0491310546799738
212,transitional stage B cell,male,European,20,0.019267080266656394
213,classical monocyte,male,European,427,0.4113521636931139
214,non-classical monocyte,male,European,302,0.2909329120265115
215,"naive thymus-derived CD4-positive, alpha-beta T cell",male,European,422,0.4065353936264498
216,"naive thymus-derived CD8-positive, alpha-beta T cell",male,European,27,0.026010558359986127
217,"central memory CD4-positive, alpha-beta T cell",male,European,393,0.3785981272397981
218,"effector memory CD8-positive, alpha-beta T cell",male,European,758,0.7302223421062772
219,"CD4-positive, alpha-beta cytotoxic T cell",male,European,302,0.2909329120265115
220,"CD16-negative, CD56-bright natural killer cell, human",male,European,19,0.01830372625332357
221,mucosal invariant T cell,male,European,32,0.030827328426650223
222,plasmablast,male,European,1,0.0009633540133328195
223,conventional dendritic cell,male,European,524,0.5047975029863975
224,"activated CD4-positive, alpha-beta T cell, human",male,European,2,0.001926708026665639
225,"plasmacytoid dendritic cell, human",male,European,277,0.266849061693191
226,hematopoietic stem cell,male,Asian,24,0.02312049631998767
227,erythrocyte,male,Asian,14,0.013486956186659472
228,platelet,male,Asian,13,0.012523602173326653
229,lymphocyte,male,Asian,33,0.031790682439983044
230,natural killer cell,male,Asian,601,0.5789757620130245
231,memory B cell,male,Asian,89,0.08573850718662093
232,naive B cell,male,Asian,131,0.12619937574659937
