,cell_type,sex,race,count,percentage
0,hematopoietic stem cell,female,unknown,15,0.01626809825931349
1,blood cell,female,unknown,431,0.46743668998427423
2,B cell,female,unknown,164,0.1778645409684941
3,dendritic cell,female,unknown,165,0.17894908085244834
4,natural killer cell,female,unknown,1891,2.050864920557453
5,"CD4-positive, alpha-beta T cell",female,unknown,2129,2.308985412938561
6,"CD8-positive, alpha-beta T cell",female,unknown,876,0.9500569383439076
7,gamma-delta T cell,female,unknown,84,0.09110135025215552
8,"double-positive, alpha-beta thymocyte",female,unknown,45,0.04880429477794046
9,classical monocyte,female,unknown,1369,1.484735101133344
10,non-classical monocyte,female,unknown,304,0.32970012472208665
11,mucosal invariant T cell,female,unknown,465,0.504311046038718
12,plasmablast,female,unknown,18,0.019521717911176184
13,double negative T regulatory cell,female,unknown,15,0.01626809825931349
14,hematopoietic stem cell,female,unknown,8,0.008676319071633859
15,megakaryocyte-erythroid progenitor cell,female,unknown,6,0.006507239303725395
16,blood cell,female,unknown,571,0.6192722737378668
17,B cell,female,unknown,522,0.5661298194241093
18,dendritic cell,female,unknown,284,0.308009327043002
19,natural killer cell,female,unknown,1800,1.9521717911176184
20,"CD4-positive, alpha-beta T cell",female,unknown,3533,3.8316794100103033
21,"CD8-positive, alpha-beta T cell",female,unknown,1734,1.880592158776639
22,gamma-delta T cell,female,unknown,176,0.1908790195759449
23,"double-positive, alpha-beta thymocyte",female,unknown,126,0.1366520253782333
24,classical monocyte,female,unknown,2045,2.217884062686405
25,non-classical monocyte,female,unknown,551,0.5975814760587821
26,mucosal invariant T cell,female,unknown,97,0.10520036874356055
27,plasmablast,female,unknown,18,0.019521717911176184
28,double negative T regulatory cell,female,unknown,38,0.04121251559026083
29,hematopoietic stem cell,female,unknown,5,0.005422699419771163
30,megakaryocyte-erythroid progenitor cell,female,unknown,3,0.0032536196518626976
31,blood cell,female,unknown,409,0.4435768125372811
32,B cell,female,unknown,223,0.24185239412179382
33,dendritic cell,female,unknown,201,0.21799251667480068
34,natural killer cell,female,unknown,790,0.8567865083238436
35,"CD4-positive, alpha-beta T cell",female,unknown,3099,3.3609891003741663
36,"CD8-positive, alpha-beta T cell",female,unknown,914,0.9912694539341684
37,gamma-delta T cell,female,unknown,72,0.07808687164470474
38,"double-positive, alpha-beta thymocyte",female,unknown,130,0.14099018491405022
39,classical monocyte,female,unknown,1584,1.717911176183504
40,non-classical monocyte,female,unknown,389,0.42188601485819643
41,mucosal invariant T cell,female,unknown,72,0.07808687164470474
42,plasmablast,female,unknown,27,0.029282576866764276
43,enucleated reticulocyte,female,unknown,1,0.0010845398839542323
44,double negative T regulatory cell,female,unknown,12,0.01301447860745079
45,hematopoietic stem cell,female,unknown,8,0.008676319071633859
46,blood cell,female,unknown,482,0.52274822406594
47,mast cell,female,unknown,1,0.0010845398839542323
48,B cell,female,unknown,176,0.1908790195759449
49,dendritic cell,female,unknown,295,0.31993926576649856
50,natural killer cell,female,unknown,799,0.8665473672794317
51,"CD4-positive, alpha-beta T cell",female,unknown,2428,2.6332628382408765
52,"CD8-positive, alpha-beta T cell",female,unknown,1838,1.993384306707879
53,gamma-delta T cell,female,unknown,68,0.07374871210888781
54,"double-positive, alpha-beta thymocyte",female,unknown,77,0.0835095710644759
55,classical monocyte,female,unknown,1849,2.0053142454313755
56,non-classical monocyte,female,unknown,366,0.39694159752724906
57,mucosal invariant T cell,female,unknown,90,0.09760858955588092
58,plasmablast,female,unknown,12,0.01301447860745079
59,double negative T regulatory cell,female,unknown,28,0.030367116750718508
60,hematopoietic stem cell,male,unknown,20,0.02169079767908465
61,megakaryocyte-erythroid progenitor cell,male,unknown,3,0.0032536196518626976
62,blood cell,male,unknown,529,0.573721598611789
63,mast cell,male,unknown,1,0.0010845398839542323
64,B cell,male,unknown,289,0.31343202646277313
65,dendritic cell,male,unknown,140,0.15183558375359255
66,natural killer cell,male,unknown,1994,2.1625725286047395
67,"CD4-positive, alpha-beta T cell",male,unknown,5140,5.574535003524755
68,"CD8-positive, alpha-beta T cell",male,unknown,877,0.9511414782278618
69,gamma-delta T cell,male,unknown,15,0.01626809825931349
70,"double-positive, alpha-beta thymocyte",male,unknown,56,0.060734233501437015
71,classical monocyte,male,unknown,1576,1.70923485711187
72,non-classical monocyte,male,unknown,228,0.247275093541565
73,mucosal invariant T cell,male,unknown,52,0.05639607396562008
74,plasmablast,male,unknown,18,0.019521717911176184
75,double negative T regulatory cell,male,unknown,49,0.053142454313757394
76,hematopoietic stem cell,male,unknown,22,0.023859877446993114
77,megakaryocyte-erythroid progenitor cell,male,unknown,2,0.0021690797679084647
78,blood cell,male,unknown,774,0.8394338701805759
79,B cell,male,unknown,812,0.8806463857708366
80,dendritic cell,male,unknown,280,0.3036711675071851
81,natural killer cell,male,unknown,2269,2.4608209966921537
82,"CD4-positive, alpha-beta T cell",male,unknown,6500,7.04950924570251
83,"CD8-positive, alpha-beta T cell",male,unknown,3137,3.4022016159644273
84,gamma-delta T cell,male,unknown,145,0.15725828317336368
85,"double-positive, alpha-beta thymocyte",male,unknown,131,0.14207472479800445
86,classical monocyte,male,unknown,2331,2.5280624694973155
87,non-classical monocyte,male,unknown,1025,1.1116533810530882
88,mucosal invariant T cell,male,unknown,258,0.27981129006019195
89,plasmablast,male,unknown,42,0.04555067512607776
90,double negative T regulatory cell,male,unknown,158,0.17135730166476873
91,hematopoietic stem cell,male,unknown,17,0.018437178027221952
92,megakaryocyte-erythroid progenitor cell,male,unknown,9,0.009760858955588092
93,blood cell,male,unknown,1805,1.9575944905373894
94,B cell,male,unknown,1117,1.2114310503768777
95,dendritic cell,male,unknown,665,0.7212190228295645
96,natural killer cell,male,unknown,2409,2.612656580445746
97,"CD4-positive, alpha-beta T cell",male,unknown,8396,9.105796865679736
98,"CD8-positive, alpha-beta T cell",male,unknown,6369,6.9074345209045065
99,gamma-delta T cell,male,unknown,563,0.6105959546662328
100,"double-positive, alpha-beta thymocyte",male,unknown,260,0.28198036982810043
101,classical monocyte,male,unknown,4052,4.394555609782549
102,non-classical monocyte,male,unknown,1210,1.3122932595846213
103,mucosal invariant T cell,male,unknown,220,0.23859877446993114
104,plasmablast,male,unknown,62,0.0672414728051624
105,enucleated reticulocyte,male,unknown,2,0.0021690797679084647
106,double negative T regulatory cell,male,unknown,248,0.2689658912206496
