,cell_type,sex,race,count,percentage
0,erythrocyte,female,European,2,1.6013066662396515e-06
1,platelet,female,European,7,5.604573331838781e-06
2,natural killer cell,female,European,327,0.000261813639930183
3,"CD4-positive, alpha-beta T cell",female,European,5,4.003266665599129e-06
4,"CD8-positive, alpha-beta T cell",female,European,1,8.006533331198258e-07
5,plasmacytoid dendritic cell,female,European,5,4.003266665599129e-06
6,memory B cell,female,European,228,0.00018254895995132027
7,naive B cell,female,European,174,0.00013931367996284968
8,gamma-delta T cell,female,European,83,6.645422664894554e-05
9,regulatory T cell,female,European,66,5.28431199859085e-05
10,transitional stage B cell,female,European,159,0.0001273038799660523
11,"naive thymus-derived CD4-positive, alpha-beta T cell",female,European,687,0.0005500488398533203
12,"naive thymus-derived CD8-positive, alpha-beta T cell",female,European,418,0.00033467309324408716
13,"central memory CD4-positive, alpha-beta T cell",female,European,960,0.0007686271997950328
14,"effector memory CD4-positive, alpha-beta T cell",female,European,89,7.12581466476645e-05
15,"central memory CD8-positive, alpha-beta T cell",female,European,114,9.127447997566014e-05
16,"effector memory CD8-positive, alpha-beta T cell",female,European,381,0.0003050489199186536
17,"CD4-positive, alpha-beta cytotoxic T cell",female,European,15,1.2009799996797387e-05
18,"CD16-negative, CD56-bright natural killer cell, human",female,European,9,7.205879998078432e-06
19,mucosal invariant T cell,female,European,115,9.207513330877996e-05
20,plasmablast,female,European,19,1.521241332927669e-05
21,conventional dendritic cell,female,European,15,1.2009799996797387e-05
22,CD14-positive monocyte,female,European,182,0.00014571890662780829
23,innate lymphoid cell,female,European,3,2.4019599993594773e-06
24,"CD14-low, CD16-positive monocyte",female,European,34,2.7222213326074075e-05
25,double negative thymocyte,female,European,7,5.604573331838781e-06
26,hematopoietic precursor cell,female,European,10,8.006533331198258e-06
27,erythrocyte,female,European,4,3.202613332479303e-06
28,platelet,female,European,20,1.6013066662396517e-05
29,natural killer cell,female,European,342,0.0002738234399269804
30,"CD4-positive, alpha-beta T cell",female,European,2,1.6013066662396515e-06
31,"CD8-positive, alpha-beta T cell",female,European,1,8.006533331198258e-07
32,plasmacytoid dendritic cell,female,European,5,4.003266665599129e-06
33,memory B cell,female,European,149,0.00011929734663485405
34,naive B cell,female,European,350,0.000280228666591939
35,gamma-delta T cell,female,European,98,7.846402664574293e-05
36,regulatory T cell,female,European,79,6.325161331646624e-05
37,transitional stage B cell,female,European,149,0.00011929734663485405
38,"naive thymus-derived CD4-positive, alpha-beta T cell",female,European,921,0.0007374017198033595
39,"naive thymus-derived CD8-positive, alpha-beta T cell",female,European,564,0.0004515684798795817
40,"central memory CD4-positive, alpha-beta T cell",female,European,1038,0.0008310781597783792
41,"effector memory CD4-positive, alpha-beta T cell",female,European,118,9.447709330813944e-05
42,"central memory CD8-positive, alpha-beta T cell",female,European,103,8.246729331134206e-05
43,"effector memory CD8-positive, alpha-beta T cell",female,European,162,0.00012970583996541177
44,"CD4-positive, alpha-beta cytotoxic T cell",female,European,6,4.8039199987189546e-06
45,"CD16-negative, CD56-bright natural killer cell, human",female,European,34,2.7222213326074075e-05
46,mucosal invariant T cell,female,European,92,7.366010664702397e-05
47,plasmablast,female,European,13,1.0408493330557734e-05
48,conventional dendritic cell,female,European,13,1.0408493330557734e-05
49,CD14-positive monocyte,female,European,166,0.00013290845329789108
50,"CD14-low, CD16-positive monocyte",female,European,21,1.6813719995516342e-05
51,double negative thymocyte,female,European,8,6.405226664958606e-06
52,hematopoietic precursor cell,female,European,6,4.8039199987189546e-06
53,erythrocyte,female,European,1,8.006533331198258e-07
54,platelet,female,European,1,8.006533331198258e-07
55,natural killer cell,female,European,20,1.6013066662396517e-05
56,plasmacytoid dendritic cell,female,European,2,1.6013066662396515e-06
57,memory B cell,female,European,63,5.044115998654903e-05
58,naive B cell,female,European,165,0.00013210779996477125
59,gamma-delta T cell,female,European,14,1.1209146663677561e-05
60,regulatory T cell,female,European,31,2.48202533267146e-05
61,transitional stage B cell,female,European,19,1.521241332927669e-05
62,"naive thymus-derived CD4-positive, alpha-beta T cell",female,European,391,0.0003130554532498519
63,"naive thymus-derived CD8-positive, alpha-beta T cell",female,European,114,9.127447997566014e-05
64,"central memory CD4-positive, alpha-beta T cell",female,European,168,0.00013450975996413074
65,"effector memory CD4-positive, alpha-beta T cell",female,European,28,2.2418293327355123e-05
66,"central memory CD8-positive, alpha-beta T cell",female,European,14,1.1209146663677561e-05
67,"effector memory CD8-positive, alpha-beta T cell",female,European,26,2.081698666111547e-05
68,"CD4-positive, alpha-beta cytotoxic T cell",female,European,2,1.6013066662396515e-06
69,"CD16-negative, CD56-bright natural killer cell, human",female,European,10,8.006533331198258e-06
70,mucosal invariant T cell,female,European,16,1.2810453329917212e-05
71,plasmablast,female,European,9,7.205879998078432e-06
72,conventional dendritic cell,female,European,8,6.405226664958606e-06
73,CD14-positive monocyte,female,European,3,2.4019599993594773e-06
74,"CD14-low, CD16-positive monocyte",female,European,3,2.4019599993594773e-06
75,double negative thymocyte,female,European,2,1.6013066662396515e-06
76,platelet,female,European,23,1.8415026661755993e-05
77,dendritic cell,female,European,2,1.6013066662396515e-06
78,natural killer cell,female,European,603,0.00048279395987125493
79,"CD4-positive, alpha-beta T cell",female,European,4,3.202613332479303e-06
80,"CD8-positive, alpha-beta T cell",female,European,2,1.6013066662396515e-06
81,plasmacytoid dendritic cell,female,European,11,8.807186664318084e-06
82,memory B cell,female,European,330,0.0002642155999295425
83,naive B cell,female,European,316,0.00025300645326586496
84,gamma-delta T cell,female,European,195,0.00015612739995836603
85,regulatory T cell,female,European,140,0.00011209146663677561
86,transitional stage B cell,female,European,242,0.00019375810661499785
87,"naive thymus-derived CD4-positive, alpha-beta T cell",female,European,2771,0.002218610386075037
88,"naive thymus-derived CD8-positive, alpha-beta T cell",female,European,1179,0.0009439702797482746
89,"central memory CD4-positive, alpha-beta T cell",female,European,1578,0.0012634309596630852
90,"effector memory CD4-positive, alpha-beta T cell",female,European,212,0.00016973850662140307
91,"central memory CD8-positive, alpha-beta T cell",female,European,81,6.485291998270588e-05
92,"effector memory CD8-positive, alpha-beta T cell",female,European,782,0.0006261109064997038
93,"CD4-positive, alpha-beta cytotoxic T cell",female,European,92,7.366010664702397e-05
94,"CD16-negative, CD56-bright natural killer cell, human",female,European,75,6.004899998398693e-05
95,mucosal invariant T cell,female,European,151,0.00012089865330109369
96,plasmablast,female,European,39,3.1225479991673205e-05
97,conventional dendritic cell,female,European,21,1.6813719995516342e-05
98,CD14-positive monocyte,female,European,153,0.00012249995996733333
99,innate lymphoid cell,female,European,2,1.6013066662396515e-06
100,"CD14-low, CD16-positive monocyte",female,European,43,3.4428093324152506e-05
101,double negative thymocyte,female,European,19,1.521241332927669e-05
102,hematopoietic precursor cell,female,European,19,1.521241332927669e-05
103,peripheral blood mononuclear cell,female,European,2,1.6013066662396515e-06
104,erythrocyte,female,European,3,2.4019599993594773e-06
105,platelet,female,European,7,5.604573331838781e-06
106,natural killer cell,female,European,601,0.0004811926532050153
107,"CD4-positive, alpha-beta T cell",female,European,3,2.4019599993594773e-06
108,plasmacytoid dendritic cell,female,European,6,4.8039199987189546e-06
109,memory B cell,female,European,168,0.00013450975996413074
110,naive B cell,female,European,161,0.00012890518663229194
111,gamma-delta T cell,female,European,158,0.00012650322663293248
112,regulatory T cell,female,European,56,4.4836586654710246e-05
113,transitional stage B cell,female,European,92,7.366010664702397e-05
114,"naive thymus-derived CD4-positive, alpha-beta T cell",female,European,860,0.0006885618664830502
115,"naive thymus-derived CD8-positive, alpha-beta T cell",female,European,342,0.0002738234399269804
116,"central memory CD4-positive, alpha-beta T cell",female,European,640,0.0005124181331966885
117,"effector memory CD4-positive, alpha-beta T cell",female,European,127,0.00010168297330621787
118,"central memory CD8-positive, alpha-beta T cell",female,European,42,3.3627439991032684e-05
