,dataset_name,cell_type,cell_type_ontology_id,sex,race,count,percentage
0,Time-resolved Systems Immunology Reveals a Late Juncture Linked to Fatal COVID-19: Innate Cells,platelet,CL:0000233,female,unknown,5,0.019256691700365876
1,Time-resolved Systems Immunology Reveals a Late Juncture Linked to Fatal COVID-19: Innate Cells,natural killer cell,CL:0000623,female,unknown,2,0.00770267668014635
2,Time-resolved Systems Immunology Reveals a Late Juncture Linked to Fatal COVID-19: Innate Cells,plasmacytoid dendritic cell,CL:0000784,female,unknown,10,0.03851338340073175
3,Time-resolved Systems Immunology Reveals a Late Juncture Linked to Fatal COVID-19: Innate Cells,classical monocyte,CL:0000860,female,unknown,519,1.998844598497978
4,Time-resolved Systems Immunology Reveals a Late Juncture Linked to Fatal COVID-19: Innate Cells,non-classical monocyte,CL:0000875,female,unknown,50,0.19256691700365877
5,Time-resolved Systems Immunology Reveals a Late Juncture Linked to Fatal COVID-19: Innate Cells,"CD16-positive, CD56-dim natural killer cell, human",CL:0000939,female,unknown,190,0.7317542846139033
6,Time-resolved Systems Immunology Reveals a Late Juncture Linked to Fatal COVID-19: Innate Cells,conventional dendritic cell,CL:0000990,female,unknown,9,0.03466204506065858
7,Time-resolved Systems Immunology Reveals a Late Juncture Linked to Fatal COVID-19: Innate Cells,platelet,CL:0000233,female,unknown,64,0.2464856537646832
8,Time-resolved Systems Immunology Reveals a Late Juncture Linked to Fatal COVID-19: Innate Cells,plasmacytoid dendritic cell,CL:0000784,female,unknown,62,0.23878297708453686
9,Time-resolved Systems Immunology Reveals a Late Juncture Linked to Fatal COVID-19: Innate Cells,classical monocyte,CL:0000860,female,unknown,1343,5.172347390718275
10,Time-resolved Systems Immunology Reveals a Late Juncture Linked to Fatal COVID-19: Innate Cells,non-classical monocyte,CL:0000875,female,unknown,424,1.6329674561910263
11,Time-resolved Systems Immunology Reveals a Late Juncture Linked to Fatal COVID-19: Innate Cells,"CD16-negative, CD56-bright natural killer cell, human",CL:0000938,female,unknown,6,0.023108030040439053
12,Time-resolved Systems Immunology Reveals a Late Juncture Linked to Fatal COVID-19: Innate Cells,"CD16-positive, CD56-dim natural killer cell, human",CL:0000939,female,unknown,281,1.0822260735605624
13,Time-resolved Systems Immunology Reveals a Late Juncture Linked to Fatal COVID-19: Innate Cells,conventional dendritic cell,CL:0000990,female,unknown,27,0.10398613518197573
14,Time-resolved Systems Immunology Reveals a Late Juncture Linked to Fatal COVID-19: Innate Cells,intermediate monocyte,CL:0002393,female,unknown,13,0.05006739842095128
15,Time-resolved Systems Immunology Reveals a Late Juncture Linked to Fatal COVID-19: Innate Cells,granulocyte,CL:0000094,male,unknown,26,0.10013479684190256
16,Time-resolved Systems Immunology Reveals a Late Juncture Linked to Fatal COVID-19: Innate Cells,platelet,CL:0000233,male,unknown,53,0.2041209320238783
17,Time-resolved Systems Immunology Reveals a Late Juncture Linked to Fatal COVID-19: Innate Cells,natural killer cell,CL:0000623,male,unknown,321,1.2362796071634894
18,Time-resolved Systems Immunology Reveals a Late Juncture Linked to Fatal COVID-19: Innate Cells,plasmacytoid dendritic cell,CL:0000784,male,unknown,70,0.2695936838051223
19,Time-resolved Systems Immunology Reveals a Late Juncture Linked to Fatal COVID-19: Innate Cells,classical monocyte,CL:0000860,male,unknown,814,3.134989408819565
20,Time-resolved Systems Immunology Reveals a Late Juncture Linked to Fatal COVID-19: Innate Cells,non-classical monocyte,CL:0000875,male,unknown,179,0.6893895628730984
21,Time-resolved Systems Immunology Reveals a Late Juncture Linked to Fatal COVID-19: Innate Cells,"CD16-negative, CD56-bright natural killer cell, human",CL:0000938,male,unknown,68,0.2618910071249759
22,Time-resolved Systems Immunology Reveals a Late Juncture Linked to Fatal COVID-19: Innate Cells,"CD16-positive, CD56-dim natural killer cell, human",CL:0000939,male,unknown,1013,3.9014057384941263
23,Time-resolved Systems Immunology Reveals a Late Juncture Linked to Fatal COVID-19: Innate Cells,conventional dendritic cell,CL:0000990,male,unknown,29,0.11168881186212208
24,Time-resolved Systems Immunology Reveals a Late Juncture Linked to Fatal COVID-19: Innate Cells,platelet,CL:0000233,male,unknown,7,0.026959368380512227
25,Time-resolved Systems Immunology Reveals a Late Juncture Linked to Fatal COVID-19: Innate Cells,natural killer cell,CL:0000623,male,unknown,34,0.13094550356248796
