,cell_type,sex,race,count,percentage
0,blood cell,female,unknown,57,0.32404775440591244
1,erythrocyte,female,unknown,5,0.02842524161455372
2,platelet,female,unknown,53,0.3013075611142695
3,dendritic cell,female,unknown,109,0.6196702671972711
4,CD4-positive helper T cell,female,unknown,255,1.44968732234224
5,natural killer cell,female,unknown,1017,5.781694144400228
6,"CD8-positive, alpha-beta T cell",female,unknown,430,2.44457077885162
7,classical monocyte,female,unknown,1227,6.975554292211483
8,non-classical monocyte,female,unknown,322,1.8305855599772598
9,IgG memory B cell,female,unknown,123,0.6992609437180216
10,"effector CD4-positive, alpha-beta T cell",female,unknown,470,2.67197271176805
11,"effector CD8-positive, alpha-beta T cell",female,unknown,266,1.5122228538942581
12,IgG-negative class switched memory B cell,female,unknown,263,1.495167708925526
13,intermediate monocyte,female,unknown,49,0.2785673678226265
14,blood cell,female,unknown,78,0.44343376918703814
15,erythrocyte,female,unknown,4,0.02274019329164298
16,platelet,female,unknown,18,0.1023308698123934
17,dendritic cell,female,unknown,27,0.1534963047185901
18,CD4-positive helper T cell,female,unknown,127,0.7220011370096646
19,natural killer cell,female,unknown,996,5.662308129619102
20,"CD8-positive, alpha-beta T cell",female,unknown,1045,5.940875497441729
21,classical monocyte,female,unknown,482,2.740193291642979
22,non-classical monocyte,female,unknown,83,0.4718590108015918
23,IgG memory B cell,female,unknown,201,1.1426947129050595
24,"effector CD4-positive, alpha-beta T cell",female,unknown,295,1.6770892552586698
25,"effector CD8-positive, alpha-beta T cell",female,unknown,386,2.1944286526435475
26,IgG-negative class switched memory B cell,female,unknown,563,3.200682205798749
27,intermediate monocyte,female,unknown,26,0.14781125639567935
28,blood cell,female,unknown,82,0.46617396247868104
29,erythrocyte,female,unknown,139,0.7902217168845935
30,platelet,female,unknown,139,0.7902217168845935
31,dendritic cell,female,unknown,120,0.6822057987492893
32,CD4-positive helper T cell,female,unknown,274,1.557703240477544
33,natural killer cell,female,unknown,706,4.013644115974986
34,"CD8-positive, alpha-beta T cell",female,unknown,427,2.427515633882888
35,classical monocyte,female,unknown,1225,6.964184195565662
36,non-classical monocyte,female,unknown,314,1.7851051733939738
37,IgG memory B cell,female,unknown,118,0.6708357021034679
38,"effector CD4-positive, alpha-beta T cell",female,unknown,320,1.8192154633314381
39,"effector CD8-positive, alpha-beta T cell",female,unknown,264,1.5008527572484367
40,IgG-negative class switched memory B cell,female,unknown,287,1.6316088686753838
41,intermediate monocyte,female,unknown,75,0.42637862421830586
42,blood cell,male,unknown,92,0.5230244457077885
43,erythrocyte,male,unknown,36,0.2046617396247868
44,platelet,male,unknown,43,0.24445707788516205
45,dendritic cell,male,unknown,67,0.3808982376350199
46,CD4-positive helper T cell,male,unknown,132,0.7504263786242183
47,natural killer cell,male,unknown,1196,6.799317794201251
48,"CD8-positive, alpha-beta T cell",male,unknown,246,1.3985218874360432
49,classical monocyte,male,unknown,1358,7.720295622512792
50,non-classical monocyte,male,unknown,178,1.0119386014781124
51,IgG memory B cell,male,unknown,165,0.9380329732802728
52,"effector CD4-positive, alpha-beta T cell",male,unknown,236,1.3416714042069358
53,"effector CD8-positive, alpha-beta T cell",male,unknown,151,0.8584422967595224
54,IgG-negative class switched memory B cell,male,unknown,172,0.9778283115406482
55,intermediate monocyte,male,unknown,51,0.289937464468448
