cell_type,count,sex,race,age,cat,exp,percentage
CD68 /Macrophage,0,F,,53,old,non,0
T-Killer,0,F,,53,old,non,0
T-reg,16,F,,53,old,non,1.02
T-helper,64,F,,53,old,non,4.09
P53,275,F,,53,old,non,17.58
KI67,244,F,,53,old,non,15.6
DDB2,965,F,,53,old,non,61.7
