cell_type,count,sex,race,age,cat,exp,percentage
CD68 /Macrophage,3,M,,69,old,non,0.07
T-Killer,1,M,,69,old,non,0.02
T-reg,12,M,,69,old,non,0.27
T-helper,150,M,,69,old,non,3.34
P53,4064,M,,69,old,non,90.53
KI67,244,M,,69,old,non,5.44
DDB2,15,M,,69,old,non,0.33
