cell_type,count,sex,race,age,cat,exp,percentage,y_pos
CD68 /Macrophage,1595,Female,,42,young,sun,4.95,1364.264
T-Killer,15941,Female,,42,young,sun,49.45
T-reg,0,Female,,42,young,sun,0
T-helper,14702,Female,,42,young,sun,45.6
P53,0,Female,,42,young,sun,0
KI67,0,Female,,42,young,sun,0
DDB2,0,Female,,42,young,sun,0
