cell_type,count,sex,race,age,cat,exp,percentage
CD68 /Macrophage,1595,F,,42,young,sun,4.95
T-Killer,15941,F,,42,young,sun,49.45
T-reg,0,F,,42,young,sun,0
T-helper,14702,F,,42,young,sun,45.6
P53,0,F,,42,young,sun,0
KI67,0,F,,42,young,sun,0
DDB2,0,F,,42,young,sun,0
