cell_type,count,sex,race,age,cat,exp,percentage
CD68 /Macrophage,2,F,,22,young,sun,0.01
T-Killer,5,F,,22,young,sun,0.04
T-reg,4,F,,22,young,sun,0.03
T-helper,82,F,,22,young,sun,0.57
P53,793,F,,22,young,sun,5.55
KI67,179,F,,22,young,sun,1.25
DDB2,13216,F,,22,young,sun,92.54
