cell_type,count,sex,race,age,cat,exp,percentage
CD68 /Macrophage,1,F,,32,young,non,0.04
T-Killer,2,F,,32,young,non,0.08
T-reg,20,F,,32,young,non,0.77
T-helper,67,F,,32,young,non,2.56
P53,2252,F,,32,young,non,86.15
KI67,148,F,,32,young,non,5.66
DDB2,124,F,,32,young,non,4.74
