cell_type,count,sex,race,age,cat,exp,percentage
CD68 /Macrophage,0,F,,33,young,non,0
T-Killer,10,F,,33,young,non,0.25
T-reg,10,F,,33,young,non,0.25
T-helper,93,F,,33,young,non,2.32
P53,2276,F,,33,young,non,56.69
KI67,85,F,,33,young,non,2.12
DDB2,1541,F,,33,young,non,38.38
