cell_type,count,sex,race,age,cat,exp,percentage
CD68 /Macrophage,0,M,,38,young,sun,0
T-Killer,2,M,,38,young,sun,0.05
T-reg,19,M,,38,young,sun,0.49
T-helper,87,M,,38,young,sun,2.25
P53,794,M,,38,young,sun,20.52
KI67,80,M,,38,young,sun,2.07
DDB2,2887,M,,38,young,sun,74.62
