"","cell_type","count","percentage"
"1","hAd1",7667,4.78962986100265
"2","hAd2",8927,5.57676089333125
"3","hAd3",5520,3.44838357020147
"4","hAd4",2101,1.31250976104951
"5","hAd5",537,0.335467749492425
"6","hAd6",862,0.538497579259722
"7","hAd7",253,0.158050913634234
"8","hASPC1",18731,11.7013899734499
"9","hASPC2",10877,6.79493987193503
"10","hASPC3",11218,7.00796501639856
"11","hASPC4",2072,1.29439325316258
"12","hASPC5",3989,2.49195689520537
"13","hASPC6",1464,0.914571294705607
"14","hBcell",342,0.213649851632047
"15","hcDC1",211,0.131813212556614
"16","hcDC2",1812,1.13196938934874
"17","hEndM",312,0.194908636576605
"18","hEndoA1",2903,1.81352491019834
"19","hEndoA2",1560,0.974543182883024
"20","hEndoS1",3951,2.46821802280181
"21","hEndoS2",1108,0.692175542714353
"22","hEndoS3",386,0.241136967046697
"23","hEndoV",5310,3.31719506481337
"24","hLEC1",2635,1.64610338903639
"25","hLEC2",198,0.123692019365922
"26","hMac1",11558,7.22036545369358
"27","hMac2",2261,1.41246290801187
"28","hMac3",3874,2.42011557082618
"29","hMast",1132,0.707168514758707
"30","hmDC",112,0.069967202873653
"31","hMes1",20059,12.5310010932375
"32","hMes2",9213,5.75542714352647
"33","hMes3",1199,0.749023895049196
"34","hMono1",1202,0.75089801655474
"35","hMono2",603,0.3766984226144
"36","hNeu",145,0.09058253943464
"37","hNK",2535,1.58363267218491
"38","hpDC",34,0.0212400437295018
"39","hPeri",1427,0.891457129470561
"40","hPlasmablast",40,0.0249882867405904
"41","hSMC1",1862,1.16320474777448
"42","hSMC2",975,0.60908948930189
"43","hTcell1",5680,3.54833671716383
"44","hTcell2",1077,0.672809620490395
"45","hTreg",141,0.088083710760581
