,cell_type,count,percentage,region,layer
0,CD68,18,46.15384615384615,1,10
1,T-Killer,1,2.564102564102564,1,10
2,T-Reg,4,10.256410256410255,1,10
3,T-Helper,16,41.02564102564102,1,10
