,cell_type,count,percentage,region,layer
0,CD68,1,1.2658227848101267,7,21
1,T-Killer,1,1.2658227848101267,7,21
2,T-Reg,4,5.063291139240507,7,21
3,T-Helper,73,92.40506329113924,7,21
