,cell_type,count,percentage,region,layer
0,CD68,1,1.282051282051282,4,15
1,T-Killer,3,3.8461538461538463,4,15
2,T-Reg,0,0.0,4,15
3,T-Helper,74,94.87179487179486,4,15
