cell_type,count
NK,4
Enterocyte,6773
MUC1+ Enterocyte,129
TA,88
CD66+ Enterocyte,525
Paneth,1
Smooth muscle,11097
M1 Macrophage,248
Goblet,821
Neuroendocrine,151
CD57+ Enterocyte,0
Lymphatic,320
CD8+ T,2083
DC,629
M2 Macrophage,1717
B,350
Neutrophil,125
Endothelial,3183
Cycling TA,1391
Plasma,2959
CD4+ T cell,2899
Stroma,6220
Nerve,1902
ICC,138
CD7+ Immune,30
