cell_type,count
NK,81
Enterocyte,3773
MUC1+ Enterocyte,559
TA,1432
CD66+ Enterocyte,1014
Paneth,0
Smooth muscle,30561
M1 Macrophage,277
Goblet,3810
Neuroendocrine,177
CD57+ Enterocyte,14
Lymphatic,2101
CD8+ T,1027
DC,559
M2 Macrophage,4121
B,11
Neutrophil,142
Endothelial,5161
Cycling TA,1626
Plasma,1087
CD4+ T cell,1375
Stroma,9838
Nerve,6766
ICC,1777
CD7+ Immune,19
