cell_type,count
NK,160
Enterocyte,8061
MUC1+ Enterocyte,59
TA,48
CD66+ Enterocyte,826
Paneth,498
Smooth muscle,6272
M1 Macrophage,357
Goblet,913
Neuroendocrine,35
CD57+ Enterocyte,1
Lymphatic,677
CD8+ T,3190
DC,352
M2 Macrophage,1642
B,10
Neutrophil,512
Endothelial,2915
Cycling TA,28
Plasma,824
CD4+ T cell,930
Stroma,4319
Nerve,777
ICC,492
CD7+ Immune,60
