cell_type,count
NK,35
Enterocyte,1592
MUC1+ Enterocyte,709
TA,88
CD66+ Enterocyte,1282
Paneth,1
Smooth muscle,7846
M1 Macrophage,23
Goblet,838
Neuroendocrine,25
CD57+ Enterocyte,1
Lymphatic,571
CD8+ T,601
DC,182
M2 Macrophage,1240
B,5
Neutrophil,34
Endothelial,1908
Cycling TA,1128
Plasma,673
CD4+ T cell,609
Stroma,2489
Nerve,796
ICC,278
CD7+ Immune,7
