cell_type,count
NK,31
Enterocyte,3306
MUC1+ Enterocyte,356
TA,258
CD66+ Enterocyte,635
Paneth,0
Smooth muscle,978
M1 Macrophage,10
Goblet,1095
Neuroendocrine,30
CD57+ Enterocyte,2
Lymphatic,660
CD8+ T,639
DC,273
M2 Macrophage,648
B,7
Neutrophil,32
Endothelial,1426
Cycling TA,1138
Plasma,895
CD4+ T cell,583
Stroma,1557
Nerve,123
ICC,207
CD7+ Immune,35
