cell_type,count
NK,36
Enterocyte,1279
MUC1+ Enterocyte,195
TA,681
CD66+ Enterocyte,802
Paneth,0
Smooth muscle,7468
M1 Macrophage,25
Goblet,925
Neuroendocrine,34
CD57+ Enterocyte,5
Lymphatic,392
CD8+ T,386
DC,228
M2 Macrophage,818
B,24
Neutrophil,22
Endothelial,1228
Cycling TA,698
Plasma,558
CD4+ T cell,452
Stroma,2201
Nerve,897
ICC,241
CD7+ Immune,17
