cell_type,count
NK,38
Enterocyte,1766
MUC1+ Enterocyte,146
TA,400
CD66+ Enterocyte,200
Paneth,209
Smooth muscle,7007
M1 Macrophage,117
Goblet,1828
Neuroendocrine,78
CD57+ Enterocyte,3
Lymphatic,584
CD8+ T,3810
DC,294
M2 Macrophage,2065
B,142
Neutrophil,190
Endothelial,3609
Cycling TA,1329
Plasma,1484
CD4+ T cell,1882
Stroma,2456
Nerve,1415
ICC,336
CD7+ Immune,195
