cell_type,count
NK,100
Enterocyte,2276
MUC1+ Enterocyte,482
TA,984
CD66+ Enterocyte,1969
Paneth,0
Smooth muscle,3166
M1 Macrophage,71
Goblet,2306
Neuroendocrine,157
CD57+ Enterocyte,13
Lymphatic,571
CD8+ T,804
DC,1113
M2 Macrophage,1047
B,55
Neutrophil,55
Endothelial,1827
Cycling TA,920
Plasma,1487
CD4+ T cell,1318
Stroma,2740
Nerve,356
ICC,309
CD7+ Immune,32
