cell_type,count
NK,68
Enterocyte,6757
MUC1+ Enterocyte,48
TA,2571
CD66+ Enterocyte,466
Paneth,307
Smooth muscle,4060
M1 Macrophage,62
Goblet,2399
Neuroendocrine,243
CD57+ Enterocyte,20
Lymphatic,1899
CD8+ T,2663
DC,817
M2 Macrophage,1992
B,16
Neutrophil,428
Endothelial,3394
Cycling TA,6598
Plasma,868
CD4+ T cell,2699
Stroma,3398
Nerve,1745
ICC,469
CD7+ Immune,39
