cell_type,count
NK,49
Enterocyte,21364
MUC1+ Enterocyte,30
TA,4017
CD66+ Enterocyte,219
Paneth,1313
Smooth muscle,4341
M1 Macrophage,282
Goblet,6451
Neuroendocrine,859
CD57+ Enterocyte,5
Lymphatic,3280
CD8+ T,19068
DC,365
M2 Macrophage,3316
B,184
Neutrophil,79
Endothelial,4810
Cycling TA,1931
Plasma,5018
CD4+ T cell,4704
Stroma,1728
Nerve,1351
ICC,1173
CD7+ Immune,165
