cell_type,count
NK,170
Enterocyte,14693
MUC1+ Enterocyte,401
TA,391
CD66+ Enterocyte,1272
Paneth,0
Smooth muscle,6247
M1 Macrophage,342
Goblet,5212
Neuroendocrine,345
CD57+ Enterocyte,18
Lymphatic,1793
CD8+ T,2009
DC,642
M2 Macrophage,1809
B,28
Neutrophil,129
Endothelial,2784
Cycling TA,844
Plasma,3022
CD4+ T cell,2304
Stroma,5280
Nerve,1063
ICC,570
CD7+ Immune,225
