cell_type,count
NK,96
Enterocyte,3317
MUC1+ Enterocyte,229
TA,572
CD66+ Enterocyte,619
Paneth,0
Smooth muscle,5784
M1 Macrophage,139
Goblet,3486
Neuroendocrine,86
CD57+ Enterocyte,12
Lymphatic,846
CD8+ T,984
DC,362
M2 Macrophage,1624
B,20
Neutrophil,34
Endothelial,2495
Cycling TA,428
Plasma,1046
CD4+ T cell,999
Stroma,3227
Nerve,844
ICC,474
CD7+ Immune,61
