cell_type,count
NK,87
Enterocyte,4895
MUC1+ Enterocyte,297
TA,725
CD66+ Enterocyte,1208
Paneth,4
Smooth muscle,4724
M1 Macrophage,165
Goblet,1111
Neuroendocrine,55
CD57+ Enterocyte,8
Lymphatic,662
CD8+ T,924
DC,213
M2 Macrophage,1303
B,15
Neutrophil,586
Endothelial,2057
Cycling TA,734
Plasma,1274
CD4+ T cell,730
Stroma,2547
Nerve,644
ICC,309
CD7+ Immune,126
