cell_type,count
NK,54
Enterocyte,2480
MUC1+ Enterocyte,636
TA,270
CD66+ Enterocyte,1243
Paneth,0
Smooth muscle,3245
M1 Macrophage,8
Goblet,316
Neuroendocrine,57
CD57+ Enterocyte,3
Lymphatic,1258
CD8+ T,418
DC,443
M2 Macrophage,2425
B,6
Neutrophil,1235
Endothelial,1288
Cycling TA,1001
Plasma,217
CD4+ T cell,436
Stroma,3366
Nerve,503
ICC,282
CD7+ Immune,11
