cell_type,count
NK,214
Enterocyte,12647
MUC1+ Enterocyte,8
TA,1205
CD66+ Enterocyte,2186
Paneth,0
Smooth muscle,6482
M1 Macrophage,729
Goblet,4428
Neuroendocrine,157
CD57+ Enterocyte,17
Lymphatic,2660
CD8+ T,4097
DC,1546
M2 Macrophage,1629
B,695
Neutrophil,542
Endothelial,4025
Cycling TA,1988
Plasma,3715
CD4+ T cell,3278
Stroma,3679
Nerve,1004
ICC,1378
CD7+ Immune,40
