cell_type,count
NK,6
Enterocyte,1461
MUC1+ Enterocyte,8
TA,254
CD66+ Enterocyte,165
Paneth,94
Smooth muscle,7281
M1 Macrophage,337
Goblet,2826
Neuroendocrine,101
CD57+ Enterocyte,0
Lymphatic,766
CD8+ T,2197
DC,162
M2 Macrophage,1430
B,129
Neutrophil,264
Endothelial,1945
Cycling TA,1717
Plasma,605
CD4+ T cell,639
Stroma,2347
Nerve,1189
ICC,446
CD7+ Immune,125
