cell_type,count
NK,236
Enterocyte,27975
MUC1+ Enterocyte,272
TA,193
CD66+ Enterocyte,413
Paneth,1246
Smooth muscle,5206
M1 Macrophage,2102
Goblet,1581
Neuroendocrine,1142
CD57+ Enterocyte,328
Lymphatic,434
CD8+ T,4006
DC,706
M2 Macrophage,2810
B,106
Neutrophil,148
Endothelial,6266
Cycling TA,132
Plasma,8679
CD4+ T cell,4663
Stroma,8679
Nerve,407
ICC,167
CD7+ Immune,316
