cell_type,count
NK,32
Enterocyte,1896
MUC1+ Enterocyte,367
TA,736
CD66+ Enterocyte,860
Paneth,0
Smooth muscle,2047
M1 Macrophage,8
Goblet,1448
Neuroendocrine,89
CD57+ Enterocyte,2
Lymphatic,607
CD8+ T,672
DC,433
M2 Macrophage,1177
B,4
Neutrophil,371
Endothelial,1126
Cycling TA,2072
Plasma,1773
CD4+ T cell,758
Stroma,3236
Nerve,409
ICC,338
CD7+ Immune,43
