cell_type,count
NK,69
Enterocyte,9004
MUC1+ Enterocyte,794
TA,454
CD66+ Enterocyte,170
Paneth,207
Smooth muscle,4444
M1 Macrophage,129
Goblet,360
Neuroendocrine,228
CD57+ Enterocyte,70
Lymphatic,740
CD8+ T,1425
DC,167
M2 Macrophage,1692
B,7
Neutrophil,1140
Endothelial,2316
Cycling TA,260
Plasma,1706
CD4+ T cell,1159
Stroma,3081
Nerve,1153
ICC,324
CD7+ Immune,120
