cell_type,count
NK,92
Enterocyte,4862
MUC1+ Enterocyte,565
TA,114
CD66+ Enterocyte,468
Paneth,443
Smooth muscle,2375
M1 Macrophage,127
Goblet,1561
Neuroendocrine,188
CD57+ Enterocyte,154
Lymphatic,1266
CD8+ T,710
DC,176
M2 Macrophage,1353
B,207
Neutrophil,74
Endothelial,3070
Cycling TA,474
Plasma,1085
CD4+ T cell,1235
Stroma,1559
Nerve,981
ICC,398
CD7+ Immune,21
