cell_type,count
NK,59
Enterocyte,26644
MUC1+ Enterocyte,32
TA,1185
CD66+ Enterocyte,32
Paneth,3758
Smooth muscle,6477
M1 Macrophage,1082
Goblet,9228
Neuroendocrine,933
CD57+ Enterocyte,11
Lymphatic,1586
CD8+ T,9462
DC,759
M2 Macrophage,2724
B,95
Neutrophil,18
Endothelial,7113
Cycling TA,878
Plasma,7192
CD4+ T cell,4657
Stroma,2430
Nerve,2695
ICC,782
CD7+ Immune,75
