cell_type,count
NK,7
Enterocyte,153
MUC1+ Enterocyte,0
TA,53
CD66+ Enterocyte,16
Paneth,0
Smooth muscle,6810
M1 Macrophage,13
Goblet,41
Neuroendocrine,2
CD57+ Enterocyte,0
Lymphatic,500
CD8+ T,16
DC,91
M2 Macrophage,1155
B,1
Neutrophil,27
Endothelial,1591
Cycling TA,13
Plasma,0
CD4+ T cell,24
Stroma,2390
Nerve,1158
ICC,169
CD7+ Immune,0
