cell_type,count
NK,103
Enterocyte,10809
MUC1+ Enterocyte,3157
TA,1520
CD66+ Enterocyte,228
Paneth,607
Smooth muscle,3150
M1 Macrophage,377
Goblet,2570
Neuroendocrine,325
CD57+ Enterocyte,593
Lymphatic,785
CD8+ T,2313
DC,272
M2 Macrophage,1500
B,1
Neutrophil,121
Endothelial,3526
Cycling TA,525
Plasma,1627
CD4+ T cell,1841
Stroma,4358
Nerve,1209
ICC,1396
CD7+ Immune,179
