cell_type,count
NK,70
Enterocyte,2637
MUC1+ Enterocyte,356
TA,662
CD66+ Enterocyte,1057
Paneth,0
Smooth muscle,7034
M1 Macrophage,20
Goblet,1558
Neuroendocrine,89
CD57+ Enterocyte,3
Lymphatic,1107
CD8+ T,604
DC,423
M2 Macrophage,1685
B,3
Neutrophil,286
Endothelial,1757
Cycling TA,1553
Plasma,1568
CD4+ T cell,872
Stroma,6112
Nerve,1408
ICC,862
CD7+ Immune,25
