cell_type,count
NK,8
Enterocyte,7824
MUC1+ Enterocyte,293
TA,118
CD66+ Enterocyte,5814
Paneth,1
Smooth muscle,4111
M1 Macrophage,1471
Goblet,433
Neuroendocrine,103
CD57+ Enterocyte,16
Lymphatic,803
CD8+ T,1178
DC,447
M2 Macrophage,1477
B,379
Neutrophil,78
Endothelial,1830
Cycling TA,311
Plasma,3670
CD4+ T cell,636
Stroma,1599
Nerve,939
ICC,245
CD7+ Immune,9
