cell_type,count
NK,4
Enterocyte,8947
MUC1+ Enterocyte,53
TA,182
CD66+ Enterocyte,236
Paneth,181
Smooth muscle,4699
M1 Macrophage,565
Goblet,183
Neuroendocrine,61
CD57+ Enterocyte,7
Lymphatic,836
CD8+ T,2863
DC,213
M2 Macrophage,1404
B,76
Neutrophil,287
Endothelial,2242
Cycling TA,481
Plasma,1519
CD4+ T cell,1290
Stroma,1910
Nerve,1216
ICC,201
CD7+ Immune,411
