cell_type,count
NK,2
Enterocyte,805
MUC1+ Enterocyte,65
TA,708
CD66+ Enterocyte,1794
Paneth,0
Smooth muscle,7140
M1 Macrophage,348
Goblet,1970
Neuroendocrine,151
CD57+ Enterocyte,6
Lymphatic,741
CD8+ T,619
DC,206
M2 Macrophage,2441
B,156
Neutrophil,222
Endothelial,1301
Cycling TA,1319
Plasma,1608
CD4+ T cell,708
Stroma,1730
Nerve,785
ICC,234
CD7+ Immune,4
