cell_type,count
NK,43
Enterocyte,6947
MUC1+ Enterocyte,1614
TA,1460
CD66+ Enterocyte,127
Paneth,754
Smooth muscle,3151
M1 Macrophage,278
Goblet,4338
Neuroendocrine,508
CD57+ Enterocyte,87
Lymphatic,576
CD8+ T,1250
DC,250
M2 Macrophage,1867
B,27
Neutrophil,12
Endothelial,3618
Cycling TA,418
Plasma,1834
CD4+ T cell,1087
Stroma,3287
Nerve,1283
ICC,478
CD7+ Immune,77
