cell_type,count
NK,1184
Enterocyte,53437
MUC1+ Enterocyte,274
TA,1361
CD66+ Enterocyte,2504
Paneth,1885
Smooth muscle,6343
M1 Macrophage,1009
Goblet,5111
Neuroendocrine,1006
CD57+ Enterocyte,86
Lymphatic,2736
CD8+ T,33027
DC,593
M2 Macrophage,3139
B,14
Neutrophil,121
Endothelial,9042
Cycling TA,302
Plasma,5920
CD4+ T cell,5266
Stroma,6813
Nerve,972
ICC,1537
CD7+ Immune,936
