cell_type,count
NK,20
Enterocyte,5603
MUC1+ Enterocyte,2
TA,300
CD66+ Enterocyte,270
Paneth,489
Smooth muscle,12721
M1 Macrophage,265
Goblet,2822
Neuroendocrine,114
CD57+ Enterocyte,0
Lymphatic,990
CD8+ T,3699
DC,575
M2 Macrophage,1696
B,14
Neutrophil,513
Endothelial,3272
Cycling TA,44
Plasma,458
CD4+ T cell,471
Stroma,3275
Nerve,2806
ICC,625
CD7+ Immune,19
