cell_type,count
NK,9
Enterocyte,3660
MUC1+ Enterocyte,533
TA,145
CD66+ Enterocyte,1659
Paneth,1
Smooth muscle,2185
M1 Macrophage,510
Goblet,685
Neuroendocrine,14
CD57+ Enterocyte,10
Lymphatic,392
CD8+ T,1056
DC,309
M2 Macrophage,961
B,1383
Neutrophil,89
Endothelial,1371
Cycling TA,339
Plasma,2098
CD4+ T cell,2077
Stroma,954
Nerve,593
ICC,166
CD7+ Immune,33
