cell_type,count
NK,13
Enterocyte,15085
MUC1+ Enterocyte,178
TA,368
CD66+ Enterocyte,314
Paneth,790
Smooth muscle,14172
M1 Macrophage,920
Goblet,2104
Neuroendocrine,520
CD57+ Enterocyte,28
Lymphatic,333
CD8+ T,4777
DC,826
M2 Macrophage,2271
B,144
Neutrophil,406
Endothelial,5977
Cycling TA,976
Plasma,4449
CD4+ T cell,2993
Stroma,9323
Nerve,3595
ICC,1302
CD7+ Immune,290
