cell_type,count
NK,38
Enterocyte,1374
MUC1+ Enterocyte,38
TA,1610
CD66+ Enterocyte,1725
Paneth,0
Smooth muscle,2294
M1 Macrophage,528
Goblet,4430
Neuroendocrine,247
CD57+ Enterocyte,0
Lymphatic,616
CD8+ T,1219
DC,435
M2 Macrophage,1619
B,1187
Neutrophil,34
Endothelial,2002
Cycling TA,2905
Plasma,3105
CD4+ T cell,1838
Stroma,1774
Nerve,1015
ICC,384
CD7+ Immune,128
