cell_type,count
NK,3
Enterocyte,5070
MUC1+ Enterocyte,11
TA,386
CD66+ Enterocyte,196
Paneth,261
Smooth muscle,8068
M1 Macrophage,482
Goblet,2464
Neuroendocrine,276
CD57+ Enterocyte,2
Lymphatic,856
CD8+ T,3701
DC,251
M2 Macrophage,1932
B,75
Neutrophil,903
Endothelial,2535
Cycling TA,1405
Plasma,1601
CD4+ T cell,1489
Stroma,2707
Nerve,1892
ICC,213
CD7+ Immune,142
