cell_type,count
NK,0
Enterocyte,1711
MUC1+ Enterocyte,118
TA,81
CD66+ Enterocyte,184
Paneth,2
Smooth muscle,7544
M1 Macrophage,119
Goblet,811
Neuroendocrine,21
CD57+ Enterocyte,0
Lymphatic,84
CD8+ T,475
DC,118
M2 Macrophage,1291
B,1
Neutrophil,45
Endothelial,2059
Cycling TA,927
Plasma,809
CD4+ T cell,265
Stroma,4305
Nerve,1098
ICC,191
CD7+ Immune,20
