cell_type,count
NK,1
Enterocyte,5174
MUC1+ Enterocyte,153
TA,770
CD66+ Enterocyte,1167
Paneth,2
Smooth muscle,2713
M1 Macrophage,542
Goblet,543
Neuroendocrine,58
CD57+ Enterocyte,0
Lymphatic,300
CD8+ T,1057
DC,402
M2 Macrophage,616
B,73
Neutrophil,48
Endothelial,819
Cycling TA,1834
Plasma,1326
CD4+ T cell,1069
Stroma,983
Nerve,562
ICC,159
CD7+ Immune,8
