cell_type,count
NK,161
Enterocyte,24548
MUC1+ Enterocyte,190
TA,706
CD66+ Enterocyte,786
Paneth,666
Smooth muscle,4064
M1 Macrophage,236
Goblet,4026
Neuroendocrine,427
CD57+ Enterocyte,11
Lymphatic,1165
CD8+ T,11810
DC,339
M2 Macrophage,1823
B,10
Neutrophil,60
Endothelial,3817
Cycling TA,1678
Plasma,3152
CD4+ T cell,2194
Stroma,4330
Nerve,800
ICC,306
CD7+ Immune,331
