cell_type,count
NK,24
Enterocyte,4304
MUC1+ Enterocyte,362
TA,1974
CD66+ Enterocyte,2075
Paneth,11
Smooth muscle,8471
M1 Macrophage,383
Goblet,2400
Neuroendocrine,571
CD57+ Enterocyte,29
Lymphatic,1096
CD8+ T,1224
DC,973
M2 Macrophage,1914
B,192
Neutrophil,306
Endothelial,2448
Cycling TA,930
Plasma,1647
CD4+ T cell,1176
Stroma,3406
Nerve,2014
ICC,430
CD7+ Immune,11
