cell_type,count
NK,6
Enterocyte,5957
MUC1+ Enterocyte,18
TA,236
CD66+ Enterocyte,107
Paneth,573
Smooth muscle,9456
M1 Macrophage,390
Goblet,1802
Neuroendocrine,256
CD57+ Enterocyte,1
Lymphatic,226
CD8+ T,2576
DC,362
M2 Macrophage,1217
B,42
Neutrophil,149
Endothelial,2544
Cycling TA,180
Plasma,612
CD4+ T cell,998
Stroma,7137
Nerve,1615
ICC,518
CD7+ Immune,222
