cell_type,count
NK,507
Enterocyte,21444
MUC1+ Enterocyte,772
TA,809
CD66+ Enterocyte,1226
Paneth,1
Smooth muscle,5426
M1 Macrophage,810
Goblet,11400
Neuroendocrine,395
CD57+ Enterocyte,20
Lymphatic,2027
CD8+ T,3844
DC,1237
M2 Macrophage,1861
B,134
Neutrophil,154
Endothelial,3525
Cycling TA,2081
Plasma,5784
CD4+ T cell,3360
Stroma,4226
Nerve,781
ICC,563
CD7+ Immune,361
