cell_type,count
NK,16
Enterocyte,3966
MUC1+ Enterocyte,7
TA,1802
CD66+ Enterocyte,66
Paneth,370
Smooth muscle,1534
M1 Macrophage,49
Goblet,992
Neuroendocrine,174
CD57+ Enterocyte,1
Lymphatic,625
CD8+ T,1109
DC,81
M2 Macrophage,837
B,32
Neutrophil,33
Endothelial,1513
Cycling TA,780
Plasma,759
CD4+ T cell,1012
Stroma,1158
Nerve,437
ICC,265
CD7+ Immune,52
