cell_type,count
NK,16
Enterocyte,3313
MUC1+ Enterocyte,20
TA,610
CD66+ Enterocyte,808
Paneth,331
Smooth muscle,8564
M1 Macrophage,86
Goblet,1979
Neuroendocrine,168
CD57+ Enterocyte,3
Lymphatic,1033
CD8+ T,610
DC,382
M2 Macrophage,3507
B,192
Neutrophil,32
Endothelial,2582
Cycling TA,678
Plasma,734
CD4+ T cell,1224
Stroma,3641
Nerve,2036
ICC,671
CD7+ Immune,61
