cell_type,count
NK,8
Enterocyte,8585
MUC1+ Enterocyte,207
TA,937
CD66+ Enterocyte,790
Paneth,266
Smooth muscle,2593
M1 Macrophage,1040
Goblet,6482
Neuroendocrine,623
CD57+ Enterocyte,61
Lymphatic,984
CD8+ T,3573
DC,316
M2 Macrophage,1978
B,110
Neutrophil,137
Endothelial,2720
Cycling TA,3343
Plasma,3599
CD4+ T cell,2654
Stroma,963
Nerve,1218
ICC,251
CD7+ Immune,732
